Bentuk Takbaku,Bentuk Baku,Sumber,Dapat Diubah,Ambigu,Memiliki Makna,Memiliki Homonim,Memiliki Homograf,Bentuk Baku Homograf Sama
"baterei","baterai","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"bathil","batil","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"batil","batel","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"batila","batel","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"baya","bahaya","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"bayat","baiat","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"bayem","bayam","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"bazaar","bazar","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"bebeksan","beksan","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"becolok","bicokok","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"bedar","bidar","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"bedong","bedung","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"begandring","begandering","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"begar","bega","KBBI V","Tidak","Ya","Tidak","Tidak","Ya","Tidak"
"begasi","bagasi","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"begimana","bagaimana","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"behena","bena","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"behina","bena","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"bekasam","pekasam","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"bekukung","bekuku","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"belakin","belangkin","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"belangko","blangko","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"belata","pelata","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"beldu","beledu","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"belederu","beledu","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"belis","iblis","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"belolok","beluluk","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"beluk","seluk","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"belukang","bedukang","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"belur","balur","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"bembet","bimbit","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"bemper","bumper","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"bendar","bandar","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"bendara","bendahara","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"bendari","bendahari","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"bendel","bundel","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"bendela","bandela","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"bengik","bengek","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"bengkap","benkap","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"bengkoang","bengkuang","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"bengkol","pengkol","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"bensol","benzol","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"bentes","benteh","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"bentik","betik","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"bentil","pentil","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"bentoh","bantah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"berangsong","berongsong","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"berenga","bernga","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"bererot","rerot","KBBI V","Tidak","Ya","Tidak","Tidak","Ya","Tidak"
"berhana","seberhana","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"beringisan","peringis","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"berokat","brokat","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"beronsang","berongsang","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"berzanji","barzanji","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"Besemah","Basemah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"beskat","beskap","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"bestik","bistik","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"betara","batara","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"betari","batari","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"beti-beti","biti","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"bia","bea","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"bidari","bidadari","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"biduri","baiduri","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"bienale","bienial","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"bihalal","halalbihalal","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"bihari","bahari","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"bihausy","bius","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"bika","bikang","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"bilau","kacau balau","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"bilyar","biliar","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"bilyun","biliun","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
